age_group,males,females,all
0–39,17982,18612,36603
40–44,19723,16109,35835
45–49,31296,26116,57414
50–54,47772,40996,88775
55–59,65931,54199,120134
60–64,83343,66317,149663
65–69,95705,73709,169417
70–74,102841,77598,180442
75–79,84622,66277,150901
80–84,55019,50477,105498
85+,44247,53101,97349
