age_group,males,females,all
0–39,2770,1981,4751
40–44,1975,1104,3079
45–49,2685,1701,4386
50–54,3130,2424,5555
55–59,3399,2774,6173
60–64,3526,2817,6344
65–69,3182,2541,5723
70–74,2529,2095,4625
75–79,1506,1260,2766
80–84,725,676,1401
85+,446,492,938
