Postcode,No. People,% Population,Population
6375,51,5.78%,882
6383,72,7.24%,994
6390,114,4.66%,2447
6391,34,2.82%,1204
6392,27,3.80%,710
6394,,,404
6395,79,4.89%,1616
6396,13,3.48%,374
6398,25,4.60%,543
6401,679,7.98%,8511
6403,,,179
6405,14,4.61%,304
6407,54,4.55%,1188
6409,19,6.03%,315
6410,62,6.97%,890
6411,,,356
6414,,,172
6415,199,7.56%,2634
6418,52,6.72%,774
6419,,,239
6421,34,9.71%,350
6423,11,5.07%,217
6424,,,95
6426,61,5.83%,1046
6429,66,8.12%,813
6430,1205,4.98%,24210
6431,21,1.77%,1185
6432,458,5.59%,8192
6434,31,5.51%,563
6437,,,954
6438,31,4.29%,723
6440,48,3.32%,1444
6442,144,5.46%,2636
6443,62,9.34%,664
6445,,,117
6447,,,485
6448,18,3.74%,481
6450,676,4.79%,14104
6460,65,5.40%,1204
6461,53,6.98%,759
6468,14,3.92%,357
6472,,,141
6475,24,8.66%,277
6477,,,283
6479,34,6.07%,560
6480,,,210
6485,39,8.07%,483
6488,22,6.71%,328
6490,15,6.25%,240
6501,67,5.25%,1276
6502,87,7.61%,1143
6503,95,4.08%,2331
6504,14,2.95%,474
6507,25,4.23%,591
6509,17,4.96%,343
6510,84,4.27%,1968
6511,33,7.45%,443
6512,,,153
6513,,,124
6514,46,6.64%,693
6515,28,6.83%,410
6516,117,5.78%,2024
6517,30,7.43%,404
6518,,,84
6519,32,5.50%,582
6521,,,414
6522,31,8.22%,377
6525,257,6.28%,4094
6528,32,12.50%,256
6530,2547,6.86%,37126
6532,265,3.20%,8293
6535,71,4.43%,1602
6536,29,1.76%,1646
6537,27,3.51%,770
6556,74,3.52%,2104
6558,128,4.52%,2832
6560,84,5.74%,1464
6562,66,4.65%,1420
6564,17,6.12%,278
6566,212,5.92%,3579
6567,,,425
6568,12,5.85%,205
6569,12,3.96%,303
6574,40,19.90%,201
6603,69,6.09%,1133
6606,,,267
6609,49,4.32%,1135
6620,,,680
6623,49,7.87%,623
6630,46,8.30%,554
6635,25,6.51%,384
6638,42,5.61%,749
6639,,,98
6640,18,9.00%,200
6642,62,5.08%,1220
6646,497,90.69%,548
6701,362,6.28%,5761
6705,,,109
6707,70,1.97%,3560
6710,21,2.33%,901
6712,,,39
6713,28,1.96%,1430
6714,575,2.89%,19891
6716,18,2.16%,833
6718,23,3.45%,666
6720,120,4.24%,2827
6721,157,3.15%,4977
6722,635,4.95%,12823
6725,449,3.60%,12476
6726,85,1.44%,5887
6728,189,3.46%,5470
6740,67,4.55%,1473
6743,238,3.19%,7458
6751,130,2.61%,4979
6753,202,2.64%,7650
6754,33,2.39%,1382
6758,,,113
6760,17,0.74%,2303
6762,,,696
6765,322,17.84%,1805
6770,100,2.87%,3488
6798,63,3.54%,1778
6799,32,5.27%,607
7000,526,3.25%,16167
7004,205,2.47%,8313
7005,413,2.78%,14837
7007,120,3.16%,3793
7008,550,3.82%,14386
7009,753,5.12%,14709
7010,1320,6.77%,19510
7011,1097,6.80%,16139
7012,36,4.74%,760
7015,510,4.48%,11392
7016,179,5.89%,3039
7017,343,4.57%,7500
7018,1209,4.76%,25394
7019,450,6.15%,7322
7020,104,3.80%,2737
7021,113,4.33%,2612
7022,43,4.73%,910
7023,30,7.59%,395
7024,13,2.03%,640
7025,88,4.41%,1995
7026,56,4.57%,1225
7027,23,4.84%,475
7030,1261,6.06%,20809
7050,598,3.87%,15457
7052,309,3.88%,7956
7053,121,3.36%,3598
7054,357,3.61%,9899
7055,28,4.64%,604
7109,468,4.58%,10217
7112,171,4.76%,3591
7113,56,4.03%,1389
7116,158,5.54%,2854
7117,54,5.39%,1001
7119,17,6.03%,282
7120,111,6.88%,1614
7140,795,6.42%,12375
7150,106,3.61%,2939
7155,38,3.17%,1198
7162,29,3.63%,798
7163,14,4.64%,302
7170,202,3.39%,5962
7171,206,5.03%,4093
7172,283,5.75%,4922
7173,341,4.49%,7600
7176,22,4.14%,532
7177,39,5.37%,726
7178,18,5.07%,355
7179,16,3.86%,414
7182,22,8.66%,254
7184,79,9.10%,868
7186,22,6.34%,347
7187,19,5.71%,333
7190,249,8.14%,3060
7209,34,7.91%,430
7210,73,6.54%,1116
7212,131,5.35%,2448
7213,28,10.89%,257
7214,58,9.21%,630
7215,191,4.69%,4070
7216,271,7.47%,3628
7248,1061,5.97%,17775
7249,783,5.56%,14081
7250,2757,5.12%,53855
7252,121,4.27%,2836
7253,446,8.51%,5242
7254,34,7.00%,486
7255,47,5.37%,876
7256,73,4.67%,1563
7257,,,29
7258,26,3.81%,683
7259,32,7.22%,443
7260,214,6.65%,3217
7261,13,9.42%,138
7262,120,5.07%,2368
7263,40,6.99%,572
7264,17,9.83%,173
7265,19,9.84%,193
7267,53,4.95%,1071
7268,58,5.14%,1128
7270,360,8.15%,4419
7275,170,5.12%,3323
7276,27,3.76%,719
7277,295,4.29%,6872
7290,133,5.56%,2394
7291,55,4.92%,1117
7292,23,3.17%,726
7300,201,5.22%,3850
7301,255,5.32%,4792
7302,98,5.32%,1842
7303,200,7.58%,2639
7304,425,6.60%,6443
7305,99,7.93%,1248
7306,274,6.12%,4474
7307,695,5.64%,12323
7310,1873,6.26%,29919
7315,889,6.06%,14673
7316,350,5.48%,6383
7320,1176,6.79%,17315
7321,277,5.53%,5005
7322,355,8.69%,4087
7325,699,8.11%,8624
7330,287,4.72%,6081
7331,47,3.91%,1201
7467,131,7.16%,1829
7468,32,4.32%,740
7469,97,13.04%,744
7470,60,8.63%,695
