Postcode,No. People,% Population,Population
2530,2520,6.91%,36469
2533,707,3.99%,17740
2534,234,3.90%,6000
2535,473,5.67%,8346
2536,1277,6.28%,20344
2537,711,5.43%,13083
2538,112,4.55%,2462
2539,1334,6.23%,21416
2540,3767,7.56%,49858
2541,2229,7.42%,30021
2545,57,5.37%,1061
2546,594,5.69%,10448
2548,474,5.42%,8752
2549,207,5.42%,3820
2550,861,4.97%,17316
2551,291,6.94%,4195
2555,22,19.47%,113
2556,156,5.78%,2698
2557,782,3.85%,20308
2558,918,7.77%,11819
2559,271,8.66%,3129
2560,6481,7.43%,87216
2563,15,8.72%,172
2564,1391,9.08%,15327
2565,1983,5.79%,34227
2566,2457,8.35%,29440
2567,2095,4.82%,43504
2568,71,5.12%,1387
2569,40,3.70%,1080
2570,2542,3.71%,68497
2571,535,3.85%,13895
2572,332,5.24%,6335
2573,349,5.80%,6020
2574,379,6.03%,6284
2575,793,4.11%,19317
2576,600,3.97%,15104
2577,789,4.56%,17300
2578,128,4.27%,2995
2579,265,5.13%,5164
2580,1885,5.78%,32596
2581,133,4.61%,2883
2582,652,4.46%,14633
2583,286,6.11%,4680
2584,33,6.41%,515
2585,,,314
2586,197,6.08%,3241
2587,178,6.40%,2783
2588,13,4.80%,271
2590,557,7.73%,7203
2594,671,5.34%,12565
2600,257,2.98%,8631
2601,113,1.34%,8463
2602,1145,3.13%,36551
2603,337,3.17%,10646
2604,393,2.86%,13728
2605,442,3.31%,13335
2606,485,3.75%,12919
2607,736,4.71%,15617
2609,74,7.39%,1002
2611,1445,3.76%,38475
2612,401,1.98%,20286
2614,933,4.40%,21217
2615,2609,5.24%,49758
2617,1517,3.80%,39960
2618,32,2.26%,1415
2619,344,3.25%,10571
2620,2244,4.72%,47574
2621,227,3.41%,6650
2622,169,3.92%,4306
2623,26,5.16%,504
2624,,,63
2625,,,407
2626,25,6.65%,376
2627,93,1.90%,4893
2628,97,3.34%,2906
2629,41,6.53%,628
2630,497,5.49%,9058
2631,50,6.79%,736
2632,73,5.33%,1369
2633,24,7.89%,304
2640,2129,5.04%,42264
2641,1289,7.37%,17484
2642,222,4.04%,5494
2643,237,7.99%,2965
2644,183,7.42%,2466
2645,50,9.16%,546
2646,524,7.87%,6660
2647,178,6.18%,2882
2648,180,7.91%,2276
2650,3202,5.08%,63035
2651,115,3.53%,3261
2652,221,4.67%,4728
2653,139,5.40%,2572
2655,74,5.30%,1395
2656,75,6.38%,1176
2658,114,6.83%,1668
2659,53,5.70%,930
2660,110,6.56%,1677
2661,,,526
2663,343,6.33%,5420
2665,123,5.78%,2127
2666,343,6.43%,5335
2668,35,9.19%,381
2669,102,6.16%,1655
2671,255,6.68%,3819
2672,95,6.80%,1398
2675,82,4.62%,1775
2678,,,488
2680,1365,5.18%,26345
2681,101,5.77%,1749
2700,354,6.91%,5125
2701,170,5.74%,2964
2702,75,8.80%,852
2703,47,7.34%,640
2705,568,5.24%,10846
2706,75,8.50%,882
2707,51,4.60%,1108
2710,699,7.18%,9729
2711,291,8.14%,3574
2712,100,9.38%,1066
2713,187,6.96%,2685
2714,251,8.02%,3131
2715,88,5.37%,1638
2716,85,8.09%,1051
2717,123,10.35%,1188
2720,598,6.94%,8618
2722,243,6.85%,3547
2725,31,9.90%,313
2727,,,195
2729,92,5.04%,1826
2730,125,9.72%,1286
2731,448,5.82%,7699
2732,127,5.72%,2222
2733,36,7.16%,503
2734,,,529
2735,,,263
2736,11,4.85%,227
2737,41,4.75%,864
2738,22,1.21%,1815
2739,95,5.75%,1652
2745,1735,5.08%,34122
2747,3457,5.92%,58396
2748,127,7.38%,1720
2749,1018,5.81%,17515
2750,3208,6.11%,52532
2752,345,5.49%,6280
2753,1048,5.68%,18457
2754,448,6.02%,7446
2756,1917,5.21%,36807
2757,53,5.77%,918
2758,376,4.04%,9313
2759,2190,7.76%,28215
2760,3010,7.20%,41778
2761,3048,8.17%,37314
2762,781,3.25%,24047
2763,2408,6.76%,35611
2765,1912,4.01%,47701
2766,1524,8.26%,18459
2767,2235,9.00%,24831
2768,1935,6.17%,31351
2769,752,4.16%,18075
2770,6312,9.72%,64939
2773,275,4.61%,5969
2774,710,5.13%,13849
2775,82,5.04%,1626
2776,187,4.28%,4374
2777,927,4.92%,18823
2778,124,5.29%,2342
2779,210,4.46%,4705
2780,661,4.77%,13852
2782,299,4.41%,6781
2783,174,4.81%,3617
2784,71,5.22%,1361
2785,247,4.91%,5032
2786,48,4.55%,1054
2787,353,7.74%,4558
2790,1134,7.05%,16089
2791,29,4.65%,624
2793,100,6.64%,1506
2794,700,7.04%,9943
2795,2598,5.50%,47255
2797,49,6.48%,756
2798,79,3.41%,2314
2799,266,6.35%,4191
2800,2448,4.86%,50415
2803,16,4.82%,332
2804,185,6.57%,2816
2805,17,7.62%,223
2806,62,6.13%,1011
2807,52,9.42%,552
2809,17,5.52%,308
2810,235,7.42%,3169
2817,12,3.29%,365
2818,59,5.56%,1062
2820,588,7.93%,7416
2821,330,6.70%,4926
2822,24,2.96%,810
2823,107,8.14%,1314
2824,145,9.01%,1610
2825,161,6.69%,2408
2826,,,184
2827,306,8.31%,3683
2828,42,6.92%,607
2829,284,9.69%,2931
2830,2826,5.99%,47180
2831,108,5.44%,1987
2832,145,7.38%,1966
2833,50,6.10%,820
2834,145,7.46%,1944
2835,197,5.26%,3743
2836,82,11.20%,732
2838,26,15.20%,171
2839,128,14.19%,902
2840,192,8.78%,2188
2842,26,5.00%,520
2843,97,8.38%,1158
2844,86,6.68%,1287
2845,125,6.55%,1908
2847,210,8.73%,2406
2848,120,8.94%,1343
2849,98,5.90%,1660
2850,907,4.57%,19853
2852,249,5.36%,4645
2864,46,7.17%,642
2865,56,6.05%,925
2866,185,5.56%,3325
2867,26,4.04%,643
2868,44,16.24%,271
2869,125,8.39%,1490
2870,731,6.10%,11992
2871,557,6.05%,9211
2873,43,8.87%,485
2874,41,8.99%,456
2875,47,8.16%,576
2876,29,4.14%,701
2877,635,17.56%,3616
2878,,,135
2879,65,9.08%,716
2880,1800,9.88%,18217
2898,,,494
2899,37,1.56%,2379
2900,206,4.72%,4363
2902,863,5.31%,16261
2903,595,5.90%,10079
2904,749,5.53%,13541
2905,1693,5.67%,29868
2906,1087,5.64%,19264
2911,175,3.43%,5096
2912,304,3.40%,8949
2913,1824,4.52%,40319
2914,1206,3.33%,36261
3000,567,1.19%,47601
3002,116,2.35%,4938
3003,128,1.45%,8804
3004,424,3.31%,12797
3006,420,1.69%,24821
3008,326,1.88%,17303
3011,1005,4.11%,24451
3012,1494,5.05%,29583
3013,617,3.61%,17081
3015,732,3.54%,20652
3016,690,3.96%,17404
3018,836,5.72%,14620
3019,770,7.28%,10570
3020,3796,7.84%,48411
3021,5591,9.30%,60117
3022,237,6.70%,3538
3023,4867,6.60%,73702
3024,2208,6.00%,36793
3025,928,6.52%,14233
3026,446,4.51%,9892
3027,372,3.53%,10540
3028,2239,7.40%,30250
3029,7776,5.46%,142371
3030,6962,5.34%,130324
3031,879,4.64%,18926
3032,1240,3.81%,32552
3033,1002,6.24%,16047
3034,955,7.21%,13242
3036,383,6.15%,6230
3037,3773,6.69%,56427
3038,2466,8.84%,27885
3039,682,3.77%,18069
3040,1081,3.72%,29077
3041,582,4.11%,14150
3042,1120,6.01%,18630
3043,1534,8.07%,19013
3044,1497,4.76%,31462
3045,,,117
3046,2379,5.94%,40064
3047,1994,8.30%,24020
3048,2001,10.01%,19995
3049,706,6.69%,10546
3051,542,3.40%,15941
3052,165,2.11%,7813
3053,441,2.58%,17115
3054,201,2.28%,8814
3055,644,4.14%,15572
3056,1047,3.78%,27734
3057,400,2.89%,13819
3058,2052,5.40%,38015
3059,1211,5.22%,23213
3060,1192,7.83%,15222
3061,610,11.11%,5493
3062,14,,0
3063,16,7.02%,228
3064,7220,5.73%,126113
3065,428,3.79%,11300
3066,349,3.56%,9799
3067,247,2.51%,9828
3068,637,3.01%,21132
3070,955,3.47%,27535
3071,782,3.80%,20573
3072,1899,5.14%,36967
3073,3579,6.39%,56005
3074,2097,9.90%,21191
3075,2143,8.91%,24051
3076,2603,6.97%,37362
3078,436,3.27%,13323
3079,683,3.70%,18457
3081,913,5.96%,15312
3082,2368,7.77%,30470
3083,2091,6.13%,34130
3084,1145,3.85%,29749
3085,653,4.48%,14589
3087,520,5.20%,10006
3088,1280,4.40%,29062
3089,484,3.59%,13485
3090,95,3.40%,2791
3091,67,4.43%,1513
3093,186,4.16%,4467
3094,372,3.71%,10018
3095,976,3.24%,30083
3096,80,3.94%,2032
3097,34,2.13%,1594
3099,155,3.06%,5072
3101,902,3.39%,26598
3102,270,3.97%,6807
3103,711,4.05%,17560
3104,991,4.30%,23022
3105,718,5.94%,12097
3106,1057,5.79%,18241
3107,796,5.45%,14604
3108,1509,5.43%,27777
3109,1818,5.40%,33686
3111,662,4.94%,13406
3113,266,3.05%,8708
3114,134,3.38%,3967
3115,151,3.95%,3827
3116,646,5.03%,12848
3121,1116,3.27%,34086
3122,592,2.46%,24056
3123,457,2.67%,17100
3124,839,3.64%,23039
3125,668,4.12%,16215
3126,288,3.52%,8177
3127,673,3.38%,19911
3128,1013,4.10%,24685
3129,877,4.40%,19913
3130,1677,4.63%,36208
3131,1348,5.27%,25562
3132,907,4.88%,18585
3133,1346,5.43%,24771
3134,1715,4.65%,36899
3135,1051,4.64%,22668
3136,2440,4.79%,50981
3137,878,5.54%,15862
3138,1327,5.19%,25588
3139,687,4.75%,14463
3140,991,5.20%,19060
3141,655,2.46%,26665
3142,402,2.89%,13919
3143,318,2.93%,10836
3144,305,2.71%,11252
3145,784,3.12%,25144
3146,860,3.00%,28653
3147,697,4.27%,16324
3148,510,5.07%,10062
3149,1899,4.90%,38759
3150,4373,6.44%,67859
3151,678,6.06%,11179
3152,2483,6.72%,36923
3153,1438,6.04%,23795
3154,219,4.45%,4921
3155,1522,5.91%,25769
3156,2328,5.47%,42524
3158,286,4.19%,6831
3159,93,3.68%,2530
3160,384,4.05%,9487
3161,650,3.61%,17996
3162,862,4.46%,19320
3163,1426,4.05%,35184
3165,1566,4.61%,33950
3166,1401,5.10%,27467
3167,740,7.09%,10435
3168,854,3.62%,23598
3169,1682,7.41%,22694
3170,1468,6.87%,21377
3171,1755,7.12%,24651
3172,1637,6.51%,25139
3173,2109,6.36%,33160
3174,3243,7.27%,44604
3175,4791,8.25%,58070
3177,1169,8.81%,13262
3178,2232,6.24%,35781
3179,400,6.05%,6614
3180,513,5.96%,8612
3181,671,3.21%,20901
3182,648,2.69%,24112
3183,652,3.28%,19893
3184,349,2.18%,15980
3185,507,3.51%,14451
3186,708,2.91%,24291
3187,620,3.38%,18319
3188,685,3.38%,20293
3189,362,5.41%,6688
3190,521,3.73%,13964
3191,358,3.04%,11757
3192,1251,4.88%,25613
3193,743,3.33%,22316
3194,627,4.43%,14168
3195,1686,4.07%,41383
3196,1325,4.45%,29789
3197,647,5.08%,12736
3198,1113,5.90%,18862
3199,3386,5.59%,60545
3200,455,7.42%,6133
3201,1655,6.87%,24106
3202,153,4.97%,3076
3204,1409,3.93%,35848
3205,433,3.51%,12331
3206,365,3.43%,10644
3207,634,3.32%,19088
3211,82,5.69%,1440
3212,1136,5.39%,21086
3213,272,5.43%,5010
3214,2293,9.02%,25427
3215,1520,6.27%,24233
3216,3054,4.68%,65263
3217,658,2.97%,22190
3218,714,4.59%,15557
3219,1507,6.92%,21787
3220,716,3.92%,18275
3221,26,4.21%,617
3222,1117,5.51%,20266
3223,761,7.70%,9888
3224,940,5.46%,17209
3225,247,4.31%,5735
3226,651,3.30%,19721
3227,193,2.78%,6954
3228,679,2.50%,27161
3230,112,3.05%,3672
3231,27,1.74%,1549
3232,38,2.75%,1383
3233,71,2.82%,2518
3234,,,285
3235,27,2.78%,972
3236,,,236
3237,19,3.35%,567
3238,,,154
3239,21,4.96%,423
3240,98,4.04%,2428
3241,218,7.04%,3096
3242,23,3.21%,717
3243,15,2.06%,729
3249,175,7.13%,2454
3250,876,6.47%,13545
3251,61,8.92%,684
3254,22,4.78%,460
3260,362,7.65%,4734
3264,177,7.01%,2526
3265,129,4.11%,3139
3266,217,7.80%,2781
3267,13,6.02%,216
3268,118,5.08%,2321
3269,30,2.94%,1019
3270,,,208
3272,88,4.76%,1848
3273,,,99
3274,26,6.22%,418
3275,27,3.72%,726
3276,29,8.01%,362
3277,87,4.58%,1900
3278,22,3.75%,587
3280,1939,5.43%,35726
3281,62,3.05%,2032
3282,131,4.67%,2804
3283,36,3.82%,942
3284,174,4.16%,4187
3285,50,4.48%,1115
3286,38,6.44%,590
3287,17,3.67%,463
3289,67,5.19%,1290
3292,23,8.36%,275
3293,19,7.54%,252
3294,43,3.95%,1088
3300,764,6.99%,10936
3301,30,3.54%,847
3302,22,7.53%,292
3303,20,4.63%,432
3304,229,8.23%,2781
3305,1147,8.29%,13840
3310,14,5.17%,271
3311,147,9.76%,1506
3312,47,6.00%,783
3314,32,4.43%,723
3315,125,8.05%,1552
3318,111,7.93%,1399
3319,19,5.38%,353
3321,83,3.71%,2237
3323,19,7.95%,239
3324,30,9.29%,323
3325,49,9.82%,499
3328,112,4.37%,2564
3329,11,3.10%,355
3330,37,7.84%,472
3331,401,4.90%,8186
3332,61,4.61%,1324
3333,47,5.40%,871
3334,30,5.45%,550
3335,520,7.33%,7098
3336,684,3.62%,18911
3337,3078,7.03%,43762
3338,2359,5.77%,40880
3340,1598,5.75%,27815
3341,69,3.79%,1819
3342,235,6.28%,3745
3345,57,4.52%,1261
3350,3553,4.96%,71656
3351,509,5.18%,9833
3352,926,4.38%,21150
3355,1079,7.90%,13657
3356,1306,7.71%,16941
3357,199,4.90%,4065
3358,151,4.04%,3740
3360,50,6.96%,718
3361,43,6.16%,698
3363,241,5.69%,4234
3364,70,3.93%,1780
3370,173,7.57%,2285
3371,107,7.59%,1410
3373,224,6.91%,3243
3374,29,4.08%,710
3375,20,8.55%,234
3377,630,6.39%,9864
3378,16,4.49%,356
3379,61,6.35%,961
3380,558,9.17%,6085
3381,45,4.62%,973
3384,45,6.70%,672
3385,27,7.03%,384
3387,16,6.23%,257
3388,36,6.96%,517
3390,79,8.42%,938
3391,21,8.90%,236
3392,64,9.76%,656
3393,235,9.30%,2527
3395,22,14.97%,147
3396,86,9.73%,884
3400,1146,6.85%,16726
3401,194,4.37%,4439
3407,22,9.82%,224
3409,48,5.52%,870
3412,37,6.45%,574
3413,,,193
3414,180,12.48%,1442
3418,241,8.46%,2850
3419,95,11.22%,847
3420,17,8.46%,201
3423,50,10.46%,478
3424,70,11.65%,601
3427,274,4.35%,6304
3428,38,5.78%,658
3429,2328,5.45%,42736
3430,34,6.72%,506
3431,196,4.03%,4858
3433,14,4.40%,318
3434,327,5.11%,6404
3435,185,4.34%,4261
3437,461,3.56%,12967
3438,80,2.95%,2715
3440,81,3.68%,2204
3441,65,4.16%,1561
3442,284,2.94%,9672
3444,495,4.70%,10532
3446,42,4.16%,1009
3447,24,3.98%,603
3448,51,4.04%,1262
3450,385,4.72%,8165
3451,231,3.72%,6215
3453,104,5.19%,2004
3458,133,4.89%,2721
3460,166,5.60%,2966
3461,210,4.17%,5037
3462,56,5.18%,1082
3463,156,5.89%,2648
3464,57,6.12%,931
3465,951,8.57%,11093
3467,118,7.79%,1515
3468,18,9.94%,181
3469,23,5.85%,393
3472,158,7.72%,2046
3477,100,7.53%,1328
3478,187,8.16%,2291
3480,149,9.16%,1626
3482,21,4.99%,421
3483,47,6.90%,681
3485,34,8.00%,425
3490,131,7.67%,1709
3491,15,3.95%,380
3494,19,2.61%,729
3496,416,6.13%,6782
3498,270,4.29%,6289
3500,2514,6.76%,37192
3501,160,6.59%,2427
3505,279,5.43%,5142
3509,,,158
3512,,,222
3515,111,4.20%,2645
3516,46,5.97%,771
3517,101,6.65%,1518
3518,103,7.10%,1451
3521,29,5.82%,498
3522,23,4.07%,565
3523,310,7.79%,3977
3525,125,8.23%,1519
3527,52,7.51%,692
3530,18,6.57%,274
3533,75,9.78%,767
3537,63,4.61%,1368
3540,23,8.52%,270
3542,,,187
3544,11,3.57%,308
3546,21,7.07%,297
3549,273,6.44%,4236
3550,2350,5.33%,44090
3551,1571,3.89%,40339
3555,1520,6.57%,23153
3556,984,6.71%,14674
3557,39,4.17%,936
3558,58,6.78%,855
3559,29,4.65%,623
3561,319,6.67%,4786
3562,14,6.17%,227
3563,48,5.25%,914
3564,1161,6.48%,17921
3565,19,3.49%,545
3566,28,4.91%,570
3567,60,8.77%,684
3568,211,7.36%,2868
3570,162,15.73%,1030
3571,16,5.69%,281
3573,29,5.61%,517
3575,53,6.47%,819
3579,455,8.60%,5293
3580,44,4.29%,1025
3581,16,7.05%,227
3584,56,6.74%,831
3585,744,5.71%,13033
3586,31,4.06%,763
3588,21,7.89%,266
3589,,,363
3590,,,355
3594,47,8.53%,551
3595,28,4.89%,573
3597,26,4.80%,542
3608,244,7.76%,3144
3610,89,5.51%,1614
3612,142,8.18%,1735
3614,39,4.21%,927
3616,407,6.76%,6023
3618,52,7.89%,659
3620,630,7.43%,8480
3621,152,5.96%,2552
3622,41,6.29%,652
3623,76,8.42%,903
3624,35,6.15%,569
3629,726,7.15%,10154
3630,2339,6.60%,35445
3631,703,4.53%,15524
3633,30,5.03%,597
3634,112,5.70%,1964
3635,37,6.10%,607
3636,451,8.04%,5610
3637,27,5.13%,526
3638,149,6.01%,2481
3639,40,10.47%,382
3640,72,5.70%,1263
3641,91,6.64%,1370
3644,784,8.14%,9629
3646,31,5.85%,530
3649,29,6.89%,421
3658,420,6.30%,6662
3659,30,3.61%,832
3660,624,7.76%,8043
3662,17,1.28%,1323
3663,14,3.80%,368
3664,58,4.99%,1162
3666,330,5.85%,5639
3669,105,5.15%,2038
3670,23,3.80%,606
3672,798,7.01%,11379
3673,64,3.57%,1793
3675,92,5.68%,1619
3677,1163,5.65%,20566
3678,260,3.95%,6579
3682,35,3.74%,937
3683,111,6.70%,1656
3685,207,6.04%,3425
3687,58,5.79%,1001
3688,38,3.87%,982
3690,2372,6.24%,38018
3691,486,3.69%,13181
3695,59,3.84%,1538
3697,42,6.79%,619
3698,29,2.71%,1069
3699,28,2.25%,1247
3700,83,7.87%,1054
3701,79,6.13%,1289
3707,129,6.62%,1948
3709,17,5.76%,295
3711,19,7.48%,254
3712,33,8.38%,394
3713,95,6.26%,1517
3714,258,7.12%,3622
3715,12,3.02%,398
3717,215,5.69%,3781
3719,31,4.55%,682
3720,38,5.02%,757
3722,159,3.08%,5163
3723,116,2.49%,4653
3725,40,5.71%,701
3726,33,4.09%,806
3728,61,5.77%,1058
3730,623,5.96%,10446
3732,39,4.82%,809
3735,37,4.21%,879
3737,270,5.68%,4751
3739,23,4.97%,463
3740,37,2.75%,1347
3741,139,4.30%,3234
3744,,,332
3746,13,4.58%,284
3747,258,4.84%,5333
3749,81,3.52%,2299
3750,1018,3.75%,27154
3751,,,112
3752,1612,5.97%,27009
3753,225,4.09%,5495
3754,2123,3.83%,55422
3755,14,5.49%,255
3756,994,5.89%,16879
3757,513,5.03%,10208
3758,106,5.44%,1948
3759,19,1.74%,1094
3760,,,327
3761,35,3.18%,1101
3762,11,2.13%,517
3763,117,6.21%,1883
3764,710,5.87%,12090
3765,376,5.03%,7478
3766,48,3.82%,1258
3767,42,3.06%,1372
3770,156,4.57%,3412
3775,160,3.66%,4377
3777,600,4.96%,12104
3779,65,4.62%,1408
3781,210,4.12%,5100
3782,331,3.95%,8384
3783,104,3.91%,2660
3785,,,0
3786,51,2.92%,1744
3787,30,2.64%,1137
3788,45,2.38%,1891
3789,23,8.81%,261
3791,46,3.13%,1472
3792,38,3.30%,1152
3793,195,4.91%,3968
3795,60,4.15%,1445
3796,478,4.60%,10385
3797,212,5.39%,3934
3799,321,5.40%,5940
3802,2276,8.80%,25870
3803,985,8.30%,11867
3804,495,5.15%,9614
3805,4128,6.44%,64113
3806,3010,5.40%,55690
3807,383,4.84%,7916
3808,106,3.31%,3200
3809,879,3.96%,22186
3810,3411,5.56%,61328
3812,128,4.93%,2596
3813,48,3.81%,1261
3814,120,4.80%,2501
3815,206,5.16%,3994
3816,152,5.06%,3004
3818,1130,5.92%,19095
3820,1169,5.35%,21851
3821,114,3.94%,2892
3822,53,4.00%,1326
3823,122,5.86%,2082
3824,310,5.30%,5846
3825,1836,7.96%,23074
3831,76,3.71%,2047
3832,26,5.96%,436
3833,16,5.03%,318
3835,28,5.61%,499
3840,1533,8.06%,19021
3842,410,7.91%,5183
3844,1900,5.74%,33094
3847,151,7.55%,2001
3850,1156,6.92%,16695
3851,372,4.92%,7560
3852,,,234
3854,41,3.29%,1248
3856,78,5.05%,1546
3858,246,6.96%,3533
3859,58,4.18%,1388
3860,438,5.69%,7694
3862,194,5.58%,3475
3864,14,3.93%,356
3865,23,3.87%,594
3869,99,5.57%,1777
3870,70,5.20%,1345
3871,166,4.83%,3440
3873,17,3.06%,556
3874,43,6.11%,704
3875,1289,5.81%,22182
3878,61,5.32%,1147
3880,336,7.66%,4385
3882,52,3.57%,1456
3885,99,5.37%,1842
3886,22,4.58%,480
3887,30,6.29%,477
3888,254,7.36%,3452
3889,47,8.64%,544
3890,,,144
3891,31,20.13%,154
3892,18,1.48%,1218
3893,,,187
3896,16,4.18%,383
3898,21,3.78%,555
3900,18,7.93%,227
3902,26,5.66%,459
3903,59,5.94%,994
3904,95,4.92%,1932
3909,631,6.93%,9107
3910,1304,5.11%,25527
3911,193,4.98%,3878
3912,859,5.23%,16434
3913,203,5.41%,3752
3915,773,6.56%,11784
3916,41,2.82%,1452
3918,209,4.61%,4536
3919,180,4.88%,3689
3920,,,1301
3921,,,121
3922,602,5.68%,10597
3923,48,5.03%,954
3925,216,4.38%,4928
3926,106,2.96%,3578
3927,63,2.84%,2218
3928,,,413
3929,31,2.55%,1214
3930,632,3.10%,20395
3931,1452,5.25%,27678
3933,48,4.93%,974
3934,752,3.40%,22139
3936,726,4.85%,14978
3937,43,3.18%,1352
3938,142,4.08%,3480
3939,1100,6.16%,17843
3940,383,8.20%,4669
3941,675,4.60%,14666
3942,110,3.50%,3139
3943,73,3.61%,2023
3944,11,1.28%,860
3945,40,6.61%,605
3946,20,4.46%,448
3950,354,6.19%,5716
3951,44,3.88%,1133
