year,males,females,all,per_males,per_females,per_persons
2014,6309,5753,12062,213.9,205.8,209.9
2015,6406,5900,12306,215.9,209.6,212.8
2016,6458,5975,12433,215.4,210.1,212.8
2017,6532,6064,12597,214.8,210.4,212.7
2018,6575,6148,12724,213.1,210.7,212
2019,6630,6233,12864,212,211.2,211.6
2020,6673,6318,12991,212,212.8,212.4
2021,6756,6405,13161,214.5,215.4,214.9
